complete,volume,time,mid
True,82256,2021-06-27T21:00:00.000000000Z,"{'o': '1.19355', 'h': '1.19447', 'l': '1.19024', 'c': '1.19244'}"
True,80291,2021-06-28T21:00:00.000000000Z,"{'o': '1.19252', 'h': '1.19304', 'l': '1.18778', 'c': '1.18969'}"
True,96414,2021-06-29T21:00:00.000000000Z,"{'o': '1.18974', 'h': '1.19090', 'l': '1.18451', 'c': '1.18566'}"
True,90399,2021-06-30T21:00:00.000000000Z,"{'o': '1.18570', 'h': '1.18842', 'l': '1.18374', 'c': '1.18496'}"
True,98165,2021-07-01T21:00:00.000000000Z,"{'o': '1.18506', 'h': '1.18743', 'l': '1.18075', 'c': '1.18654'}"
True,53122,2021-07-04T21:00:00.000000000Z,"{'o': '1.18665', 'h': '1.18808', 'l': '1.18514', 'c': '1.18637'}"
True,106797,2021-07-05T21:00:00.000000000Z,"{'o': '1.18644', 'h': '1.18954', 'l': '1.18070', 'c': '1.18231'}"
True,98452,2021-07-06T21:00:00.000000000Z,"{'o': '1.18240', 'h': '1.18361', 'l': '1.17815', 'c': '1.17911'}"
True,124471,2021-07-07T21:00:00.000000000Z,"{'o': '1.17908', 'h': '1.18680', 'l': '1.17836', 'c': '1.18461'}"
True,83911,2021-07-08T21:00:00.000000000Z,"{'o': '1.18444', 'h': '1.18814', 'l': '1.18250', 'c': '1.18770'}"
True,70121,2021-07-11T21:00:00.000000000Z,"{'o': '1.18760', 'h': '1.18802', 'l': '1.18360', 'c': '1.18604'}"
True,93029,2021-07-12T21:00:00.000000000Z,"{'o': '1.18602', 'h': '1.18752', 'l': '1.17721', 'c': '1.17763'}"
True,85449,2021-07-13T21:00:00.000000000Z,"{'o': '1.17765', 'h': '1.18388', 'l': '1.17719', 'c': '1.18364'}"
True,83599,2021-07-14T21:00:00.000000000Z,"{'o': '1.18378', 'h': '1.18508', 'l': '1.17962', 'c': '1.18106'}"
True,73820,2021-07-15T21:00:00.000000000Z,"{'o': '1.18106', 'h': '1.18225', 'l': '1.17922', 'c': '1.18052'}"
True,99736,2021-07-18T21:00:00.000000000Z,"{'o': '1.18100', 'h': '1.18246', 'l': '1.17638', 'c': '1.17986'}"
True,97580,2021-07-19T21:00:00.000000000Z,"{'o': '1.17997', 'h': '1.18026', 'l': '1.17556', 'c': '1.17808'}"
True,78374,2021-07-20T21:00:00.000000000Z,"{'o': '1.17808', 'h': '1.18048', 'l': '1.17518', 'c': '1.17948'}"
